date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2024-07-15,분할 매수,강한 녹색,1,1,52,79.3,0.5029,신규 매수,강한 녹색,1,58,0.5094,0.4295,0.3716,-2.8819,0.3716,0.3716,-6.2117,-16.816,-16.5286
2024-07-16,분할 매수,강한 녹색,1,1,54,79.3,0.5029,신규 매수,강한 녹색,1,61,0.5094,-2.8819,-6.2799,-2.6936,-6.2799,-6.2799,-5.7083,-16.1631,-15.5069
2024-07-17,분할 매수,약한 녹색,1,1,38,79.3,0.2463,신규 매수,강한 녹색,1,45,0.224,-2.6936,0.2606,-0.4833,0.2606,0.2606,-1.6826,-8.1507,-10.8984
2024-07-18,분할 매수,약한 녹색,1,1,38,79.3,0.2453,신규 매수,강한 녹색,1,47,0.2594,-0.4833,-0.4678,-2.5679,-0.4678,-0.4678,-4.9281,-7.0698,-11.2566
2024-07-19,보유,중립,0.615,0.6,10,79.3,-0.0515,홀딩,녹색 대기,0.6,19,-0.1005,-2.5679,-0.0475,3.3051,-0.0475,-0.0475,-4.6136,-7.6519,-11.1128
2024-07-22,보유,녹색 대기,0.63,0.6,20,79.3,0.0894,신규 매수,약한 녹색,1,44,0.1922,3.3051,1.0013,-0.3243,1.0013,1.0013,-5.2164,-8.3061,-11.3741
2024-07-23,보유,중립,0.612,0.6,8,79.3,-0.1015,홀딩,녹색 대기,0.6,24,-0.1188,-0.3243,-2.2844,-5.3132,-2.2844,-2.2844,-7.5792,-7.6348,-11.7606
2024-07-24,보유,중립,0.582,0.6,-12,79.3,-0.4323,홀딩,중립,0.6,-8,-0.5312,-5.3132,-3.0806,-0.6501,-3.0806,-3.0806,-1.1536,-7.3254,-9.3315
2024-07-25,보유,위험 경계,0.5625,0.6,-25,79.3,-0.4553,홀딩,중립,0.6,-9,-0.4818,-0.6501,-0.0504,0.5879,-0.0504,-0.0504,-3.4639,-4.1005,-6.5384
2024-07-26,보유,위험 경계,0.576,0.6,-16,79.3,-0.2947,홀딩,중립,0.6,2,-0.2927,0.5879,-0.702,-2.0131,-0.702,-0.702,-11.2332,-7.0682,-6.2849
2024-07-29,보유,위험 경계,0.57,0.6,-20,79.3,-0.4128,홀딩,중립,0.6,-2,-0.4255,-2.0131,-1.7997,0.546,-1.7997,-1.7997,-11.8861,-6.8541,-7.4436
2024-07-30,보유,위험 경계,0.5625,0.6,-25,79.3,-0.4719,홀딩,중립,0.6,-6,-0.5005,0.546,4.5787,1.4324,4.5787,4.5787,-8.7494,-7.5998,-7.2115
2024-07-31,보유,중립,0.591,0.6,-6,79.3,-0.2079,홀딩,녹색 대기,0.6,24,-0.163,1.4324,-5.2981,-7.495,-5.2981,-5.2981,-13.3068,-11.0347,-10.8595
2024-08-01,보유,위험 경계,0.576,0.6,-16,79.3,-0.439,홀딩,중립,0.6,2,-0.4812,-7.495,-8.0907,-9.4585,-8.0907,-8.0907,-4.9614,-4.5444,-4.2021
2024-08-02,비중 축소,약한 빨간색,0.2488888888888889,0.2,-38,79.3,-0.7249,매도,약한 빨간색,0.2,-23,-0.7849,-9.4585,-1.3745,6.3997,-1.3745,-1.3745,3.2286,2.5243,5.5879
